"Kuvaako ""koodaripula,"" ""kohtaanto-ongelma,"" ""osaamispula"" tms. mielestäsi Suomen IT-asiantuntijamarkkinoiden nykytilaa totuudenmukaisesti tai hyödyllisesti?",Mikä seuraavista kuvaa työnkuvaasi parhaiten?,Q1 CLASSIFICATION,Q2 CLASSIFICATION,Q2 LITERAL TRANSLATION,KEY_TAKEAWAYS_FROM_COMMENTS,COMMENT(QUESTION_IS_BAD),COMMENT(LACK_OF_TRAINING_OR_ENTRY_PATHS_FOR_BEGINNERS_TO_INDUSTRY),COMMENT(SENIORS_ENGINEERS_NEEDED),COMMENT(OFFERS_ARE_NOT_GOOD),COMMENT(SOFTWARE_QUALITY_ISSUES_LEAD_TO_UNNECESSARY_WORK),COMMENT(INEFFICIENT_MANAGEMENT_HIRING_AND_WORK_PRACTICES),COMMENT(NO_CANDIDATES_AVAILABLE_FOR_COMPANY),COMMENT(CANDIDATES_REPORT_TROUBLE_FINDING_WORK),COMMENT(TOO_HIGH_OR_SPECIFIC_SKILLS_REQUIRED_FOR_WORK),COMMENT(BEGINNERS_AND_LESS_SKILLED_PROGRAMMERS_EASY_TO_FIND),COMMENT(HEADHUNTERS_ARE_VERY_ACTIVE),COMMENT(LOCATION_INEQUALITY_FOR_JOBS),COMMENT(TALENT_SHORTAGE_DISCOURSE_IS_NOT_WORKING),COMMENT(COMMITMENT_WORRIES),COMMENT(INTERNATIONAL_LABOR),COMMENT(AVAILABLE_WORK_MIGHT_NOT_BE_VERY_INTERESTING)
Kyllä. Pula sopivista osaajista pitää paikkansa.,Muu tietotekninen asiantuntija,Y,SPECIALIST,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Muu tietotekninen asiantuntija,Y,SPECIALIST,,Mentions shortage of cloud- & distributed programming knowledge,,,,,,,,,TRUE,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Muu tietotekninen asiantuntija,Y,SPECIALIST,,"From respondents experience, looks like the ""programmer shortage"" is more of a matching problem. Has worked in QA for 20 years and more than 10 years in testing automation. Still gets queries in Linkedin for development positions even though does not consider oneself as a programmer. Though work still requires one to know python, c#, labview etc. Either head hunters are incompetent or a tactic of mass-spamming everyone with certain keywords in their profiles and hoping some of them would take the bait. Another problem is that companies seek senior level developers with more than 3 years of experience on specific technologies. But almost everyone in the field with even some experience in programming are employed in some fashion. Schools create new professionals to the market, but they might not have enough opportunities to show their skills and thus enter full-time work. The freshly graduates and beginners need contacts in companies that could help with landing jobs. Companies and schools should work together to create touch points to working life and possibly land internships in thse companies. The respondent would want to see this more in the university universe so this programmer shortage would be mitigated.",,TRUE,TRUE,,,,,,TRUE,,TRUE,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,,,,,,,,,,,,,,,,,
Kyllä. Pula sopivista osaajista pitää paikkansa.,Muu tietotekninen asiantuntija,Y,SPECIALIST,,"It's unclear where exactly the shortage is. Management often still does not undestand what digitalization, AI, ML, IoT and the evolution of work practices actually means. If there would be understanding, there would be creators for good projects and we could pinpoint the shortage better. Another issue is with recognizing people's strenghts. This is partly the fault of consultants and their use. Often other professionals than programmers should be there to solve problems with programmers to identify the real problem which is to be solved with software. The consultant -problem is that client is prepared to pay for programmers, but not for problem solvers. This leads to hiring only programmers or to make programmers do the work of consultants. When you add the agile disruption which needs people as well. This would require increased undestanding with clients (especially with healtchare-sector). We see that understanding and competence is lacking. There is a shortage in talent, but what exactly is needed and how to identify the gaps is the real question.",,,,,,TRUE,,,,,,,TRUE,,,TRUE
Kyllä. Pula sopivista osaajista pitää paikkansa.,Ohjelmistokehittäjä,Y,PROGRAMMER,,The shortage depends a lot on the specific domain and niche. E.g. web development vs. low level embedded dev. The company where the person works has grown steadily along the years. Hard to guess how the market is going to develop.,,,,,,,,,TRUE,,,,,,,
Ei. En usko pulatilaa olevan.,Muu tietotekninen asiantuntija,N,SPECIALIST,,,,,,,,,,,,,,,,,,
