Timestamp,Q1 CLASSIFICATION
3/2/2020 11:38:25,N
3/2/2020 11:40:53,N
3/2/2020 11:41:50,N
3/2/2020 11:47:24,N
3/2/2020 12:16:27,N
3/2/2020 12:32:45,N
3/2/2020 12:40:35,N
3/2/2020 12:51:13,N
3/2/2020 13:06:09,Y
3/2/2020 13:06:11,Y
3/2/2020 13:13:18,Y
3/2/2020 13:17:25,N
3/2/2020 13:18:29,Y
3/2/2020 13:27:52,Y
3/2/2020 13:30:55,N
3/2/2020 13:34:29,Y
3/2/2020 13:35:27,Y
3/2/2020 13:36:58,Y
3/2/2020 13:37:37,N
3/2/2020 13:45:30,N
3/2/2020 13:49:50,Y
3/2/2020 13:50:54,N
3/2/2020 14:05:19,Y
3/2/2020 14:05:47,Y
3/2/2020 14:10:27,Y
3/2/2020 14:10:50,Y
3/2/2020 14:26:58,Y
3/2/2020 14:30:47,Y
3/2/2020 14:32:54,N
3/2/2020 14:54:50,Y
3/2/2020 14:56:03,Y
3/2/2020 14:57:01,Y
3/2/2020 14:57:16,N
3/2/2020 15:05:44,Y
3/2/2020 15:10:47,Y
3/2/2020 15:11:36,Y
3/2/2020 15:16:21,Y
3/2/2020 15:24:40,N
3/2/2020 15:28:22,Y
3/2/2020 15:29:56,N
3/2/2020 15:56:27,N
3/2/2020 16:31:43,N
3/2/2020 16:33:47,Y
3/2/2020 16:40:21,N
3/2/2020 16:49:05,Y
3/2/2020 16:58:21,N
3/2/2020 16:58:43,N
3/2/2020 17:01:39,N
3/2/2020 17:04:27,Y
3/2/2020 17:08:17,N
3/2/2020 17:13:32,N
3/2/2020 17:26:58,N
3/2/2020 18:22:43,N
3/2/2020 18:33:16,N
3/2/2020 18:43:12,Y
3/2/2020 18:47:10,N
3/2/2020 19:01:47,Y
3/2/2020 19:29:48,Y
3/2/2020 19:55:36,N
3/2/2020 19:59:46,Y
3/2/2020 21:11:52,Y
3/2/2020 21:15:51,N
3/2/2020 21:26:09,Y
3/2/2020 23:36:06,N
3/3/2020 5:27:04,Y
3/3/2020 5:50:21,N
